㕵	[口王,oev,guó_hún_luǒ]
㕶	[口一,ogdu,ň_ňg]
㕷	[口白,oub,huà_pā_piā]
㕸	[口立,oyl,lì]
㕹	[口𠂇又丶,ohdw,fá]
㕺	[吅丂,ojkx,háo_xiāo]
㕻	[丶不口,wgov,tòu_pǒu]
㕼	[口勹乂凵,osta,]
㕽	[口乚丶人,ocwu,sì]
㕾	[小口匕,covx,xiǎo]
㕿	[禾口,rov,]
㖀	[口彐キ,obfu,lè_luò]
㖁	[口乂𠂇厶,otha,lìn]
㖂	[口电丿,okpu,yì]
㖃	[口⺁一口,orgo,hǒu_hòu]
㖄	[口{三点}川,ostc,zhōu_zhù]
㖅	[口戊一,ofgu,xù]
㖆	[口冂龷,omhu,qú_qǔ]
㖇	[口而,oge,ér]
㖈	[耂匕口,jvov,]
㖉	[口人止,oulz,]
㖊	[口彐寸,obic,xún]
㖋	[人{介下}口匕,utov,]
㖌	[亻九口,trov,]
㖍	[⺀十口匕,zeov,]
㖎	[口匕人{介下},ovut,]
㖏	[口日土,okjv,nèi_niè]
㖐	[吅彐丿,obpx,wěi]
㖑	[口戈廾,ofhv,xiè]
㖒	[口丷丨丿,oxkp,tí]
㖓	[口夂丰,ovif,hóng]
㖔	[口天口,ofov,tǔn]
㖕	[口辛,oyx,bò_niè_xīn]
㖖	[辛口,yovx,niè]
㖗	[口山丶乛,omwb,yín]
㖘	[口辰,ogn,zhēn]
㖙	[力口匕,covl,]
㖚	[亻寸口匕,tiov,]
㖛	[古口匕,jovg,]
㖜	[亠口口匕,yoov,xiǎng]
㖝	[未口匕,iovw,]
㖞	[口口冂人,oomu,wāi]
㖟	[口爫冖又,ovqd,shòu]
㖠	[口大示,offs,bà_nuò]
㖡	[口亠夂丶,oyvw,yè]
㖢	[口广止匕,owlv,jí_qí]
㖣	[口立口,oyov,tòu]
㖤	[口了{四点}凵,obxa,hán]
㖥	[口囗禾,onrv,jiǒng_jùn]
㖦	[口木日,oikv,dǒng]
㖧	[口{卬左}七日,ovfk,wěn_hūn]
㖨	[口彐水,obas,lù]
㖩	[口耳又,ohdo,sǒu_jū]
㖪	[口戈口一,ofog,guó_huò_xù]
㖫	[口土八夂,ojtv,líng]
㖬	[口臼又,oudo,]
㖭	[口天小丶,ofcw,tiǎn]
㖮	[口人一冊,ougm,lún]
㖯	[冂一口匕,mgov,]
㖰	[口匕一口,ovgo,]
㖱	[亠亻丶口,ytwo,]
㖲	[女口口匕,coov,]
㖳	[氵女口匕,zcov,]
㖴	[口艹勹{两撇},ohss,]
㖵	[口且八,ontu,gé]
㖶	[口西土,oejv,yè_yān_yīn]
㖷	[口日一龰,okgl,shí_tí]
㖸	[口虍匚一,olfg,xué_niā]
㖹	[口八刀皿,otdm,fèn_pēn]
㖺	[口𡗗日,oekv,chǔn]
㖻	[口矛木,obiv,róu_niú_ròu]
㖼	[口艹二木,ohei,duǒ_lín_móu]
㖽	[口頁,ogy,zé_zéi]
㖾	[吅䒑屮,oxax,è]
㖿	[口耳阝,ohbv,xié_yé]
㗀	[口山幺幺,omaa,yōu]
㗁	[口吅一丂,oogj,è]
㗂	[口小丿目,ocpn,shěng]
㗃	[口巳七日,odfk,wěn_yìn_hūn]
㗄	[口罒方,omyu,mán_màn_kū]
㗅	[口古月,ojsv,hú]
㗆	[口革,ohg,gé_kài]
㗇	[口尸コ又,oddd,xiá_ya]
㗈	[口龴用力,odsc,màn]
㗉	[丰刀口,idof,bì_è_lüè]
㗊	[吅吅,ooxx,jí_qì_bī_léi]
㗋	[口⺈厂矢,oqgp,hóu]
㗌	[口宀厶土,owaj,zhì]
㗍	[口禾日,orkv,]
㗎	[口力口木,ocoi,jià]
㗏	[口不一止,oggl,wāi]
㗐	[口大丶皿,ofwm,]
㗑	[口丿一丰,opgi,bài]
㗒	[口衣口,owov,ài]
㗓	[口𠂤辶,ouzd,zhuī]
㗔	[口虍文,olyw,qiān]
㗕	[口{冓上}冂土,ohmj,gòu_gōu]
㗖	[口爫臼,ovuj,dàn]
㗗	[口力丿十,ocpe,bǎi_bēi]
㗘	[口甫寸,oeic,bó_fù]
㗙	[口勹勹屮,ossa,nà_chú_zhōu_chū]
㗚	[口西木,oeiv,lì]
㗛	[口⺮夭,opry,xiào]
㗜	[口亠幺田,oyak,xiù]
㗝	[口䒑土心,oxjr,]
㗞	[口石皮,ogdp,]
㗟	[氵丶口匕,zwov,]
㗠	[女厶口匕,caov,]
㗡	[艹亻口匕,htov,]
㗢	[口千二力,orec,dòng_hóng_hòng]
㗣	[口艹冖巾,ohqm,tì]
㗤	[戊上口,flow,cù]
㗥	[口亠子阝,oybb,kuò_guō]
㗦	[口耳丿卩,ohpa,láo]
㗧	[口穴厶土,owaj,zhì_dié]
㗨	[匚矢口,fpof,ǎi_xiē]
㗩	[口羽白,ocub,xī]
㗪	[口止匕糸,olva,]
㗫	[口{祭上}示,osfs,qiè]
㗬	[⺌冖夕夕,nqqq,zhā]
㗭	[口丿米心,opxr,xī]
㗮	[夕口人,qoux,]
㗯	[耂日口匕,jkov,]
㗰	[口彳人龰,osul,chù_cóng]
㗱	[口隹木,otiv,jí]
㗲	[口彐田一,obkg,huò_xì]
㗳	[口⺮一口,opgo,tǎ_dā]
㗴	[口門月,onsv,yán]
㗵	[口火火欠,oxxq,xù]
㗶	[口癶弓殳,oddq,pō]
㗷	[口宀{冓上}贝,owhm,sǎi]
㗸	[口行缶,ospf,]
㗹	[口隹心,otrx,]
㗺	[口天非,oflf,]
㗻	[口冎口辶,onoz,guō]
㗼	[口〢羊八,olxt,yè]
㗽	[乚丿阝口,cpbo,xiǎng]
㗾	[口革亻匕,ohtv,xué_xuē]
㗿	[口門丁口,oneo,hé_xià_xiā]
㘀	[口臼米,ouxm,zuò]
㘁	[口罒䒑十,omxe,yì]
㘂	[口䒑幺心,oxar,cí]
㘃	[口艹口心,ohor,ruò]
㘄	[口木罒方,oimy,lēng]
㘅	[口行金,osvv,xián]
㘆	[口士厶土,ojaj,tái_tǎi]
㘇	[口火冖木,oxqi,róng]
㘈	[口匕乛龰,ovbl,yī_yì_nǐ]
㘉	[口⺮厶卩,opaa,zhì]
㘊	[口雨言,ojyv,yì_xī]
㘋	[口臣又貝,ofdn,xián]
㘌	[口虍豕刂,olgl,jù]
㘍	[口小隹戈,octf,jí_qì]
㘎	[口门耳攵,ozhp,hǎn_hàn]
㘏	[䒑自口匕,xtov,]
㘐	[口馬八乂,oett,pào_pěng]
㘑	[口士彐水,ojba,lì]
㘒	[禾千口匕,rrov,]
㘓	[口門囗丷,onnx,lán]
